CODE;L_TYPE_TOKEN_RATIO_LEMMAS;L_PROPER_NAME;L_PERSONAL_NAME;L_PUNCT;L_PUNCT_COM;L_PUNCT_SEMC;L_PUNCT_COL;L_PUNCT_DASH;L_CONT_A;L_FUNC_A;L_CONT_T;L_FUNC_T;L_PLURAL_NOUNS;L_SINGULAR_NOUNS;L_NOM_CASE;L_GEN_CASE;L_DAT_CASE;L_ACC_CASE;L_INS_CASE;L_LOC_CASE;L_VOC_CASE;L_QULITATIVE_ADJ_P;L_RELATIVE_ADJ;L_QUALITATIVE_ADJ_CMP;L_QUALITATIVE_ADJ_SUP;L_DIRECT_ADJ;L_INDIRECT_ADJ;L_ANIM_NOUN;L_INANIM_NOUN;L_NOUN_NEUTRAL;L_NOUN_FAMININE;L_NOUN_MASCULINE;L_FEMININE_NAMES;L_MASCULINE_NAMES;L_GIVEN_NAMES;L_SURNAMES;L_FLAT_MULTIWORD;L_DIMINUTIVES;L_DIRECT_OBJ;L_INDIRECT_OBJ;L_NUM_CARD;L_NUM_ORD;L_PRON_DEM;L_PRON_PRS;L_PRON_TOT;L_PRON_REL;L_PRON_INT;L_PRON_RELATIVE;L_PRON_RFL;L_PRON_POS;L_PRON_NEG;L_ADV_POS;L_ADV_CMP;L_ADV_SUP;POS_VERB;POS_NOUN;POS_ADJ;POS_ADV;POS_DET;POS_INTJ;POS_CONJ;POS_PART;POS_NUM;POS_PREP;POS_PRO;POS_OTHER;VF_ROOT_VERB_IMPERFECT;VF_ALL_VERB_IMPERFECT;VF_ROOT_VERB_PERFECT;VF_ALL_VERB_PERFECT;VF_PRESENT_IND_IMPERFECT;VF_PAST_IND_PERFECT;VF_PAST_IND_IMPERFECT;VF_FUT_IND_PERFECT;VF_FUT_IND_IMPERFECT_SIMPLE;VF_FUT_IND_COMPLEX;VF_FIRST_CONJ;VF_SECOND_CONJ;VF_THIRD_CONJ;VF_FOURTH_CONJ;VF_INFINITIVE;VF_PASSIVE;VF_TRANSITIVE;VF_INTRANSITIVE;VF_IMPERSONAL_VERBS;VF_PARTICIPLE_PASSIVE;VF_PARTICIPLE_ACTIVE;VF_ADV_PRF_PART;VF_ADV_IMPRF_PART;SY_DIRECT_SPEECH;SY_NEGATIVE;SY_PARATAXIS;SY_NON_FINITE;SY_QUOTATIONS;SY_EXCLAMATION;SY_QUESTION;SY_ELLIPSES;SY_POSITIONING;SY_CONDITIONAL;SY_IMPERATIVE;SY_AMPLIFIED_SENT
DESCRIPTION;Type-token ratio for words lemmas;Incidence of proper names;Incidence of personal names;Incidence of punctuation;Incidence of comma;Incidence of semicolon;Incidence of colon;Incidence of dashes;Incidence of Content words;Incidence of Function words;Incidence of Content words types;Incidence of Function words types;Incidence of nouns in plural;Incidence of nouns in singular;Incidence of nouns in Nominative case;Incidence of nouns in Genitive case;Incidence of nouns in Dative case;Incidence of nouns in Accusative case;Incidence of nouns in Instrumental case;Incidence of nouns in Locative case;Incidence of nouns in Vocative case;Incidence of qualitative adj positive;Incidence of relative adj;Incidence of relative adj;Incidence of qualitative superlative adj;Incidence of direct adjective;Incidence of indirect adjective;Incidence of animate nouns;Incidence of inanimate nouns;Incidence of neutral nouns;Incidence of feminine nouns;Incidence of masculine nouns;Incidence of feminine proper nouns;Incidence of masculine proper nouns;Incidence of given names;Incidence of surnames;Incidence of flat multiwords expressions;Incidence of diminutives;Incidence of direct objects;Incidence of indirect objects;Incidence of numerals cardinals;Incidence of numerals ordinals;Incidence of demonstrative pronouns;Incidence of personal pronouns;Incidence of total pronouns;Incidence of relative pronouns;Incidence of indexical pronouns;Incidence of relative pronoun 'що';Incidence of reflexive pronoun;Incidence of posessive pronoun;Incidence of negative pronoun;Incidence of positive adverbs;Incidence of comparative adverbs;Incidence of superlative adverbs;Incidence of Verbs;Incidence of Nouns;Incidence of Adjectives;Incidence of Adverbs;Incidence of Determiners;Incidence of Interjections;Incidence of Conjunctions;Incidence of Particles;Incidence of Numerals;Incidence of Prepositions;Incidence of Pronouns;Incidence of Code-Switching;Incidence of root verbs in imperfect aspect;Incidence of all verbs in imperfect aspect;Incidence of root verbs in perfect form;Incidence of all verbs in perfect form;Incidence of verbs in the present tense, indicative mood, imperfect aspect;Incidence of verbs in the past tense, indicative mood, perfect aspect;Incidence of verbs in the past tense, indicative mood, imperfect aspect;Incidence of verbs in the future tense, indicative mood, perfect aspect;Incidence of verbs in the future tense, indicative mood, imperfect aspect, simple verb forms;Incidence of verbs in the future tense, indicative mood, complex verb forms;Incidence of verbs in the first conjugation;Incidence of verbs in the second conjugation;Incidence of verbs in the third conjugation;Incidence of verbs in the fourth conjugation;Incidence of verbs in infinitive;Incidence of verbs in the passive form;Incidence of transitive verbs;Incidence of intransitive verbs;Incidence of impersonal verbs;Incidence of passive participles;Incidence of active participles;Incidence of adverbial perfect participles;Incidence of adverbial imperfect participles;Number of words in direct speech;Number of words in negative sentences;Number of words in parataxis sentences;Number of words in sentences without any verbs;Number of words in sentences with quotation marks;Number of words in exclamatory sentences;Number of words in interrogative sentences;Number of words in elliptic sentences;Number of positionings (прикладка);Number of words in conditional sentences;Number of words in imperative sentences;Number of words in amplified sentences
MEDIAN;0,47624944138239234;0,0439632057202443;0,020249888276478476;0,1628184120363474;0,07912818412036347;0,0;0,006377551020408163;0,0;0,5867998659317741;0,20879264114404886;0,43358036645315057;0,0960822285118427;0,08315023089527782;0,15717637419931474;0,04977282883956502;0,0926281096380158;0,0009124087591240876;0,054893490242812454;0,0;0,023890213019514377;0,0;0,028815358260092357;0,05853381498584835;0,0018248175182481751;0,0009124087591240876;0,07167063905854312;0,014952331297482496;0,035742216594667066;0,2064092060181737;0,04229666319082377;0,07875577238194548;0,11927416952182332;0,00437583792641144;0,01988678683152093;0,006386861313868613;0,017875763444063757;0,04159839118129003;0,0;0,05398108148368837;0,06637308207954715;0,012773722627737226;0,0018248175182481751;0,023331595411887382;0,028806047966631908;0,009114777297780426;0,01841576046476985;0,0;0,024979517354387012;0,0076623715179502455;0,012764412334276776;0,0;0,007289959779532251;0,004012736481453895;0,0018248175182481751;0,12253277223298079;0,2861146283330851;0,09008639952331297;0,051048339043646654;0,04193356174586623;0,0;0,059260017875763446;0,00875167585282288;0,009124087591240875;0,0988473856695963;0,02789363920750782;0,0;0,01695404439147922;0,07001340682258304;0,017326456129897215;0,0443169968717414;0,05196074780277074;0,028815358260092357;0,00875167585282288;0,0009124087591240876;0,0;0,00510204081632653;0,07183822434083122;0,16248324147177118;0,012578206465067777;0,0;0,027353642186801728;0,00218791896320572;0,07731267689557575;0,01750335170564576;0,028442946521674364;0,011488902130195143;0,002737226277372263;0,0;0,00218791896320572;0,6329323700283034;0,367011768210934;0,4910714285714286;0,01330440935498287;0,018229554595560853;0,0;0,0;0,0;0,003100327722329808;0,0;0,0;0,0
MEAN;0,47624944138239234;0,0439632057202443;0,020249888276478476;0,1628184120363474;0,07912818412036347;0,0;0,006377551020408163;0,0;0,5867998659317741;0,20879264114404886;0,43358036645315057;0,0960822285118427;0,08315023089527782;0,15717637419931474;0,04977282883956502;0,0926281096380158;0,0009124087591240876;0,054893490242812454;0,0;0,023890213019514377;0,0;0,028815358260092357;0,05853381498584835;0,0018248175182481751;0,0009124087591240876;0,07167063905854312;0,014952331297482496;0,035742216594667066;0,2064092060181737;0,04229666319082377;0,07875577238194548;0,11927416952182332;0,00437583792641144;0,01988678683152093;0,006386861313868613;0,017875763444063757;0,04159839118129003;0,0;0,05398108148368837;0,06637308207954715;0,012773722627737226;0,0018248175182481751;0,023331595411887382;0,028806047966631908;0,009114777297780426;0,01841576046476985;0,0;0,024979517354387012;0,0076623715179502455;0,012764412334276776;0,0;0,007289959779532251;0,004012736481453895;0,0018248175182481751;0,12253277223298079;0,2861146283330851;0,09008639952331297;0,051048339043646654;0,04193356174586623;0,0;0,059260017875763446;0,00875167585282288;0,009124087591240875;0,0988473856695963;0,02789363920750782;0,0;0,01695404439147922;0,07001340682258304;0,017326456129897215;0,0443169968717414;0,05196074780277074;0,028815358260092357;0,00875167585282288;0,0009124087591240876;0,0;0,00510204081632653;0,07183822434083122;0,16248324147177118;0,012578206465067777;0,0;0,027353642186801728;0,00218791896320572;0,07731267689557575;0,01750335170564576;0,028442946521674364;0,011488902130195143;0,002737226277372263;0,0;0,00218791896320572;0,6329323700283034;0,367011768210934;0,4910714285714286;0,01330440935498287;0,018229554595560853;0,0;0,0;0,0;0,003100327722329808;0,0;0,0;0,0
SD;0,08770367699768343;0,03331186050204762;0,017814603659790682;0,03670888026865958;0,021580292238283012;0,0;0,009019219147787597;0,0;0,0036998548620851444;0,006662372100409512;0,08671617125157534;0,030072841654812946;0,0014615085042400334;0,01582642542429298;0,016195094236173345;0,009703889798422563;0,001290340841581291;0,012692740523309844;0,0;0,004924361987259215;0,0;0,008281881524026856;0,00019750114922162946;0,002580681683162582;0,001290340841581291;0,014773085961777637;0,0005003362446947864;0,0036471878889593632;0,01835444013432978;0,01594492611382595;0,03653771260600085;0,03519470479129378;0,001027005975952456;0,020908788330929493;0,009032385891069038;0,010849396463908;0,04439825834502156;0,0;0,011402399681728551;0,0035418539427078213;0,018064771782138077;0,002580681683162582;0,01751176856431752;0,009769723514829774;0,005148196623043722;0,002817683062228532;0,0;0,004358192026157217;0,007228542061511518;1,3166743281441555e-05;0,0;0,007728878306206305;0,0020671786951863545;0,002580681683162582;0,010704562287812145;0,018604608256677205;0,011955402899549113;0,017998938065730868;0,012850741442687143;0,0;0,006385870491499246;0,002054011951904912;0,01290340841581291;0,02795299598650082;0,011060064356411065;0,0;0,008492549416529927;0,016432095615239294;0,006464870951187898;0,012166070792052171;0,016708597224149576;0,008281881524026856;0,002054011951904912;0,001290340841581291;0,0;0,007215375318230076;0,013851413932076713;0,02054011951904913;0,007465543440577469;0,0;0,002607015169725465;0,000513502987976228;0,006109368882588969;0,004108023903809824;0,006675538843690968;0,0018170105728389616;0,0038710225247438734;0,0;0,000513502987976228;0,0003950022984432491;0,10870463253158305;0,012626906806902628;0,013653912782855092;0,010296393246087445;0,0;0,0;0,0;0,000776837853605063;0,0;0,0;0,0
1;0,5382653061224489;0,02040816326530612;0,007653061224489796;0,18877551020408162;0,09438775510204081;0,0;0,012755102040816327;0,0;0,5841836734693877;0,20408163265306123;0,49489795918367346;0,11734693877551021;0,08418367346938775;0,1683673469387755;0,061224489795918366;0,09948979591836735;0,0;0,04591836734693878;0,0;0,02040816326530612;0,0;0,02295918367346939;0,058673469387755105;0,0;0,0;0,061224489795918366;0,015306122448979591;0,03316326530612245;0,2193877551020408;0,05357142857142857;0,10459183673469388;0,09438775510204081;0,00510204081632653;0,00510204081632653;0,0;0,01020408163265306;0,01020408163265306;0,0;0,04591836734693878;0,06887755102040816;0,0;0,0;0,03571428571428571;0,03571428571428571;0,012755102040816327;0,02040816326530612;0,0;0,02806122448979592;0,002551020408163265;0,012755102040816327;0,0;0,012755102040816327;0,002551020408163265;0,0;0,13010204081632654;0,2729591836734694;0,08163265306122448;0,06377551020408163;0,05102040816326531;0,0;0,06377551020408163;0,01020408163265306;0,0;0,07908163265306123;0,03571428571428571;0,0;0,02295918367346939;0,08163265306122448;0,012755102040816327;0,03571428571428571;0,06377551020408163;0,02295918367346939;0,01020408163265306;0,0;0,0;0,01020408163265306;0,08163265306122448;0,14795918367346939;0,017857142857142856;0,0;0,025510204081632654;0,002551020408163265;0,08163265306122448;0,02040816326530612;0,03316326530612245;0,01020408163265306;0,0;0,0;0,002551020408163265;0,6326530612244898;0,44387755102040816;0,48214285714285715;0,02295918367346939;0,025510204081632654;0,0;0,0;0,0;0,002551020408163265;0,0;0,0;0,0
2;0,4142335766423358;0,06751824817518248;0,032846715328467155;0,13686131386861314;0,06386861313868614;0,0;0,0;0,0;0,5894160583941606;0,21350364963503649;0,3722627737226277;0,07481751824817519;0,08211678832116788;0,145985401459854;0,03832116788321168;0,08576642335766424;0,0018248175182481751;0,06386861313868614;0,0;0,02737226277372263;0,0;0,03467153284671533;0,058394160583941604;0,0036496350364963502;0,0018248175182481751;0,08211678832116788;0,014598540145985401;0,03832116788321168;0,19343065693430658;0,03102189781021898;0,05291970802919708;0,14416058394160583;0,0036496350364963502;0,03467153284671533;0,012773722627737226;0,025547445255474453;0,072992700729927;0,0;0,06204379562043796;0,06386861313868614;0,025547445255474453;0,0036496350364963502;0,010948905109489052;0,021897810218978103;0,005474452554744526;0,016423357664233577;0,0;0,021897810218978103;0,012773722627737226;0,012773722627737226;0,0;0,0018248175182481751;0,005474452554744526;0,0036496350364963502;0,11496350364963503;0,29927007299270075;0,09854014598540146;0,03832116788321168;0,032846715328467155;0,0;0,05474452554744526;0,0072992700729927005;0,01824817518248175;0,11861313868613138;0,020072992700729927;0,0;0,010948905109489052;0,058394160583941604;0,021897810218978103;0,05291970802919708;0,040145985401459854;0,03467153284671533;0,0072992700729927005;0,0018248175182481751;0,0;0,0;0,06204379562043796;0,177007299270073;0,0072992700729927005;0,0;0,029197080291970802;0,0018248175182481751;0,072992700729927;0,014598540145985401;0,023722627737226276;0,012773722627737226;0,005474452554744526;0,0;0,0018248175182481751;0,6332116788321168;0,29014598540145986;0,5;0,0036496350364963502;0,010948905109489052;0,0;0,0;0,0;0,0036496350364963502;0,0;0,0;0,0
