CODE;L_TYPE_TOKEN_RATIO_LEMMAS;L_PROPER_NAME;L_PERSONAL_NAME;L_PUNCT;L_PUNCT_COM;L_PUNCT_SEMC;L_PUNCT_COL;L_PUNCT_DASH;L_CONT_A;L_FUNC_A;L_CONT_T;L_FUNC_T;L_PLURAL_NOUNS;L_SINGULAR_NOUNS;L_NOM_CASE;L_GEN_CASE;L_DAT_CASE;L_ACC_CASE;L_INS_CASE;L_LOC_CASE;L_VOC_CASE;L_QULITATIVE_ADJ_P;L_RELATIVE_ADJ;L_QUALITATIVE_ADJ_CMP;L_QUALITATIVE_ADJ_SUP;L_DIRECT_ADJ;L_INDIRECT_ADJ;L_ANIM_NOUN;L_INANIM_NOUN;L_NOUN_NEUTRAL;L_NOUN_FAMININE;L_NOUN_MASCULINE;L_FEMININE_NAMES;L_MASCULINE_NAMES;L_GIVEN_NAMES;L_SURNAMES;L_FLAT_MULTIWORD;L_DIMINUTIVES;L_DIRECT_OBJ;L_INDIRECT_OBJ;L_NUM_CARD;L_NUM_ORD;L_PRON_DEM;L_PRON_PRS;L_PRON_TOT;L_PRON_REL;L_PRON_INT;L_PRON_RELATIVE;L_PRON_RFL;L_PRON_POS;L_PRON_NEG;L_ADV_POS;L_ADV_CMP;L_ADV_SUP;POS_VERB;POS_NOUN;POS_ADJ;POS_ADV;POS_DET;POS_INTJ;POS_CONJ;POS_PART;POS_NUM;POS_PREP;POS_PRO;POS_OTHER;VF_ROOT_VERB_IMPERFECT;VF_ALL_VERB_IMPERFECT;VF_ROOT_VERB_PERFECT;VF_ALL_VERB_PERFECT;VF_PRESENT_IND_IMPERFECT;VF_PAST_IND_PERFECT;VF_PAST_IND_IMPERFECT;VF_FUT_IND_PERFECT;VF_FUT_IND_IMPERFECT_SIMPLE;VF_FUT_IND_COMPLEX;VF_FIRST_CONJ;VF_SECOND_CONJ;VF_THIRD_CONJ;VF_FOURTH_CONJ;VF_INFINITIVE;VF_PASSIVE;VF_TRANSITIVE;VF_INTRANSITIVE;VF_IMPERSONAL_VERBS;VF_PARTICIPLE_PASSIVE;VF_PARTICIPLE_ACTIVE;VF_ADV_PRF_PART;VF_ADV_IMPRF_PART;SY_DIRECT_SPEECH;SY_NEGATIVE;SY_PARATAXIS;SY_NON_FINITE;SY_QUOTATIONS;SY_EXCLAMATION;SY_QUESTION;SY_ELLIPSES;SY_POSITIONING;SY_CONDITIONAL;SY_IMPERATIVE;SY_AMPLIFIED_SENT
DESCRIPTION;Type-token ratio for words lemmas;Incidence of proper names;Incidence of personal names;Incidence of punctuation;Incidence of comma;Incidence of semicolon;Incidence of colon;Incidence of dashes;Incidence of Content words;Incidence of Function words;Incidence of Content words types;Incidence of Function words types;Incidence of nouns in plural;Incidence of nouns in singular;Incidence of nouns in Nominative case;Incidence of nouns in Genitive case;Incidence of nouns in Dative case;Incidence of nouns in Accusative case;Incidence of nouns in Instrumental case;Incidence of nouns in Locative case;Incidence of nouns in Vocative case;Incidence of qualitative adj positive;Incidence of relative adj;Incidence of relative adj;Incidence of qualitative superlative adj;Incidence of direct adjective;Incidence of indirect adjective;Incidence of animate nouns;Incidence of inanimate nouns;Incidence of neutral nouns;Incidence of feminine nouns;Incidence of masculine nouns;Incidence of feminine proper nouns;Incidence of masculine proper nouns;Incidence of given names;Incidence of surnames;Incidence of flat multiwords expressions;Incidence of diminutives;Incidence of direct objects;Incidence of indirect objects;Incidence of numerals cardinals;Incidence of numerals ordinals;Incidence of demonstrative pronouns;Incidence of personal pronouns;Incidence of total pronouns;Incidence of relative pronouns;Incidence of indexical pronouns;Incidence of relative pronoun 'що';Incidence of reflexive pronoun;Incidence of posessive pronoun;Incidence of negative pronoun;Incidence of positive adverbs;Incidence of comparative adverbs;Incidence of superlative adverbs;Incidence of Verbs;Incidence of Nouns;Incidence of Adjectives;Incidence of Adverbs;Incidence of Determiners;Incidence of Interjections;Incidence of Conjunctions;Incidence of Particles;Incidence of Numerals;Incidence of Prepositions;Incidence of Pronouns;Incidence of Code-Switching;Incidence of root verbs in imperfect aspect;Incidence of all verbs in imperfect aspect;Incidence of root verbs in perfect form;Incidence of all verbs in perfect form;Incidence of verbs in the present tense, indicative mood, imperfect aspect;Incidence of verbs in the past tense, indicative mood, perfect aspect;Incidence of verbs in the past tense, indicative mood, imperfect aspect;Incidence of verbs in the future tense, indicative mood, perfect aspect;Incidence of verbs in the future tense, indicative mood, imperfect aspect, simple verb forms;Incidence of verbs in the future tense, indicative mood, complex verb forms;Incidence of verbs in the first conjugation;Incidence of verbs in the second conjugation;Incidence of verbs in the third conjugation;Incidence of verbs in the fourth conjugation;Incidence of verbs in infinitive;Incidence of verbs in the passive form;Incidence of transitive verbs;Incidence of intransitive verbs;Incidence of impersonal verbs;Incidence of passive participles;Incidence of active participles;Incidence of adverbial perfect participles;Incidence of adverbial imperfect participles;Number of words in direct speech;Number of words in negative sentences;Number of words in parataxis sentences;Number of words in sentences without any verbs;Number of words in sentences with quotation marks;Number of words in exclamatory sentences;Number of words in interrogative sentences;Number of words in elliptic sentences;Number of positionings (прикладка);Number of words in conditional sentences;Number of words in imperative sentences;Number of words in amplified sentences
MEDIAN;0,5423131373036674;0,07436723996097262;0,021661150542365747;0,188861892827763;0,08045570201450135;0,0;0,0014970059880239522;0,0;0,5629890378986436;0,22039945667769892;0,4905109907979568;0,11988004821028869;0,04941076313826022;0,14993017160567046;0,037133400929769855;0,08484628187714029;0,0014970059880239522;0,03873084501922672;0,0;0,020164144554341797;0,0;0,023258594631822616;0,06658089571655411;0,003194888178913738;0,0;0,08385146639628091;0,009182912131009547;0,01717013257829389;0,18366780815366074;0,03373763654799028;0,09453138451531443;0,07107191368062596;0,0029940119760479044;0,023359032733255534;0,009182912131009547;0,01717013257829389;0,027548736393028638;0,0;0,026353044709303438;0,07885825792504447;0,0;0,010780356220466416;0,026252606607870523;0,01727057067972681;0,007987220447284345;0,007585468041552678;0,0;0,03124581507910696;0,0014970059880239522;0,0014970059880239522;0,003094450077480821;0,006088462053528725;0,006188900154961642;0,0;0,11439421476535747;0,2752051806929272;0,09303437852729046;0,055298348988923114;0,030743624571942376;0,0;0,06039199556159247;0,03193931625566758;0,0;0,09732452028849649;0,02505691492414532;0,0;0,01727057067972681;0,04681850356794398;0,018566700464884928;0,053700904899466245;0,037736029538367355;0,03523464253601423;0,012076486005624533;0,007786344244418511;0,001597444089456869;0,0;0,08365059019341509;0,10171510015113543;0,009283350232442464;0,0;0,01686881827399514;0,0014970059880239522;0,07586424594899657;0,009283350232442464;0,019862830250043047;0,007786344244418511;0,0;0,0;0,0;0,6195930822061946;0,3985623003194888;0,4698446557364504;0,0;0,04032828910868359;0,001597444089456869;0,0;0,0;0,0;0,0;0,0014970059880239522;0,0
MEAN;0,5423131373036674;0,07436723996097262;0,021661150542365747;0,188861892827763;0,08045570201450135;0,0;0,0014970059880239522;0,0;0,5629890378986436;0,22039945667769892;0,4905109907979568;0,11988004821028869;0,04941076313826022;0,14993017160567046;0,037133400929769855;0,08484628187714029;0,0014970059880239522;0,03873084501922672;0,0;0,020164144554341797;0,0;0,023258594631822616;0,06658089571655411;0,003194888178913738;0,0;0,08385146639628091;0,009182912131009547;0,01717013257829389;0,18366780815366074;0,03373763654799028;0,09453138451531443;0,07107191368062596;0,0029940119760479044;0,023359032733255534;0,009182912131009547;0,01717013257829389;0,027548736393028638;0,0;0,026353044709303438;0,07885825792504447;0,0;0,010780356220466416;0,026252606607870523;0,01727057067972681;0,007987220447284345;0,007585468041552678;0,0;0,03124581507910696;0,0014970059880239522;0,0014970059880239522;0,003094450077480821;0,006088462053528725;0,006188900154961642;0,0;0,11439421476535747;0,2752051806929272;0,09303437852729046;0,055298348988923114;0,030743624571942376;0,0;0,06039199556159247;0,03193931625566758;0,0;0,09732452028849649;0,02505691492414532;0,0;0,01727057067972681;0,04681850356794398;0,018566700464884928;0,053700904899466245;0,037736029538367355;0,03523464253601423;0,012076486005624533;0,007786344244418511;0,001597444089456869;0,0;0,08365059019341509;0,10171510015113543;0,009283350232442464;0,0;0,01686881827399514;0,0014970059880239522;0,07586424594899657;0,009283350232442464;0,019862830250043047;0,007786344244418511;0,0;0,0;0,0;0,6195930822061946;0,3985623003194888;0,4698446557364504;0,0;0,04032828910868359;0,001597444089456869;0,0;0,0;0,0;0,0;0,0014970059880239522;0,0
SD;0,07565370231649989;0,007785195473070305;0,00099428647657805;0,013040709706411423;0,003693064055861323;0,0;0,002117086171217208;0,0;0,017099021855709606;0,027041886621490086;0,043058691904053516;0,029470110057486825;0,0021035584640528814;0,0003246649719438679;0,001704491102705228;0,007034407725450151;0,002117086171217208;0,003963618199147872;0,0;0,003111372647795258;0,0;0,003253413573020694;0,0052419865261767945;0,004518254192885288;0,0;0,016963744784066318;0,003950090491983546;0,007345544990229672;0,011241524653555914;0,011566189625499762;0,010896568120865561;0,0011092719874748313;0,004234172342434416;0,007629626840680545;0,003950090491983546;0,007345544990229672;0,011850271475950634;0,0;0,0033954544982461275;0,0014339369594186795;0,0;0,0016909633955409019;0,000980758769413724;0,011721758257889524;0,011295635482213219;0,006209217588426189;0,0;0,014549049055233913;0,002117086171217208;0,002117086171217208;0,00014204092522543545;0,004092131417208981;0,0002840818504508709;0,0;0,0008793009656812689;0,0038892158097440866;0,013013654292082776;0,01494811641658157;0,007332017283065347;0,0;0,004957904675725922;0,02257774325726211;0,0;0,0020900307568885576;0,014264967204783041;0,0;0,011721758257889524;0,01963546694902094;0,000852245551352614;0,017207243513024214;0,02796177070866434;0,013683275796716972;0,012560476102077812;0,002543208946893515;0,002259127096442644;0,0;0,00821131824874661;0,012817502538200033;0,000426122775676307;0,0;0,005783094812749881;0,002117086171217208;0,0056681093018531;0,000426122775676307;0,0100172671551843;0,002543208946893515;0,0;0,0;0,0;0,05904167791870617;0,1434545706241079;0,06805113089014805;0,0;0,006222745295590516;0,002259127096442644;0,0;0,0;0,0;0,0;0,002117086171217208;0,0
1;0,48881789137380194;0,07987220447284345;0,022364217252396165;0,19808306709265175;0,08306709265175719;0,0;0,0;0,0;0,5750798722044729;0,2012779552715655;0,46006389776357826;0,09904153354632587;0,04792332268370607;0,1501597444089457;0,038338658146964855;0,07987220447284345;0,0;0,04153354632587859;0,0;0,022364217252396165;0,0;0,025559105431309903;0,07028753993610223;0,006389776357827476;0,0;0,09584664536741214;0,006389776357827476;0,022364217252396165;0,1757188498402556;0,025559105431309903;0,10223642172523961;0,07028753993610223;0,0;0,02875399361022364;0,006389776357827476;0,022364217252396165;0,019169329073482427;0,0;0,02875399361022364;0,07987220447284345;0,0;0,009584664536741214;0,025559105431309903;0,025559105431309903;0,01597444089456869;0,003194888178913738;0,0;0,04153354632587859;0,0;0,0;0,003194888178913738;0,003194888178913738;0,006389776357827476;0,0;0,11501597444089456;0,2779552715654952;0,10223642172523961;0,04472843450479233;0,025559105431309903;0,0;0,06389776357827476;0,01597444089456869;0,0;0,09584664536741214;0,03514376996805112;0,0;0,025559105431309903;0,06070287539936102;0,019169329073482427;0,04153354632587859;0,05750798722044728;0,025559105431309903;0,003194888178913738;0,009584664536741214;0,003194888178913738;0,0;0,08945686900958466;0,0926517571884984;0,009584664536741214;0,0;0,012779552715654952;0,0;0,07987220447284345;0,009584664536741214;0,012779552715654952;0,009584664536741214;0,0;0,0;0,0;0,6613418530351438;0,2971246006389776;0,4217252396166134;0,0;0,04472843450479233;0,003194888178913738;0,0;0,0;0,0;0,0;0,0;0,0
2;0,5958083832335329;0,0688622754491018;0,020958083832335328;0,17964071856287425;0,07784431137724551;0,0;0,0029940119760479044;0,0;0,5508982035928144;0,23952095808383234;0,5209580838323353;0,1407185628742515;0,05089820359281437;0,1497005988023952;0,03592814371257485;0,08982035928143713;0,0029940119760479044;0,03592814371257485;0,0;0,017964071856287425;0,0;0,020958083832335328;0,06287425149700598;0,0;0,0;0,0718562874251497;0,011976047904191617;0,011976047904191617;0,19161676646706588;0,041916167664670656;0,08682634730538923;0,0718562874251497;0,005988023952095809;0,017964071856287425;0,011976047904191617;0,011976047904191617;0,03592814371257485;0,0;0,023952095808383235;0,07784431137724551;0,0;0,011976047904191617;0,02694610778443114;0,008982035928143712;0,0;0,011976047904191617;0,0;0,020958083832335328;0,0029940119760479044;0,0029940119760479044;0,0029940119760479044;0,008982035928143712;0,005988023952095809;0,0;0,11377245508982035;0,27245508982035926;0,08383233532934131;0,0658682634730539;0,03592814371257485;0,0;0,05688622754491018;0,04790419161676647;0,0;0,09880239520958084;0,014970059880239521;0,0;0,008982035928143712;0,03293413173652695;0,017964071856287425;0,0658682634730539;0,017964071856287425;0,04491017964071856;0,020958083832335328;0,005988023952095809;0,0;0,0;0,07784431137724551;0,11077844311377245;0,008982035928143712;0,0;0,020958083832335328;0,0029940119760479044;0,0718562874251497;0,008982035928143712;0,02694610778443114;0,005988023952095809;0,0;0,0;0,0;0,5778443113772455;0,5;0,5179640718562875;0,0;0,03592814371257485;0,0;0,0;0,0;0,0;0,0;0,0029940119760479044;0,0
