CODE;L_TYPE_TOKEN_RATIO_LEMMAS;L_PROPER_NAME;L_PERSONAL_NAME;L_PUNCT;L_PUNCT_COM;L_PUNCT_SEMC;L_PUNCT_COL;L_PUNCT_DASH;L_CONT_A;L_FUNC_A;L_CONT_T;L_FUNC_T;L_PLURAL_NOUNS;L_SINGULAR_NOUNS;L_NOM_CASE;L_GEN_CASE;L_DAT_CASE;L_ACC_CASE;L_INS_CASE;L_LOC_CASE;L_VOC_CASE;L_QULITATIVE_ADJ_P;L_RELATIVE_ADJ;L_QUALITATIVE_ADJ_CMP;L_QUALITATIVE_ADJ_SUP;L_DIRECT_ADJ;L_INDIRECT_ADJ;L_ANIM_NOUN;L_INANIM_NOUN;L_NOUN_NEUTRAL;L_NOUN_FAMININE;L_NOUN_MASCULINE;L_FEMININE_NAMES;L_MASCULINE_NAMES;L_GIVEN_NAMES;L_SURNAMES;L_FLAT_MULTIWORD;L_DIMINUTIVES;L_DIRECT_OBJ;L_INDIRECT_OBJ;L_NUM_CARD;L_NUM_ORD;L_PRON_DEM;L_PRON_PRS;L_PRON_TOT;L_PRON_REL;L_PRON_INT;L_PRON_RELATIVE;L_PRON_RFL;L_PRON_POS;L_PRON_NEG;L_ADV_POS;L_ADV_CMP;L_ADV_SUP;POS_VERB;POS_NOUN;POS_ADJ;POS_ADV;POS_DET;POS_INTJ;POS_CONJ;POS_PART;POS_NUM;POS_PREP;POS_PRO;POS_OTHER;VF_ROOT_VERB_IMPERFECT;VF_ALL_VERB_IMPERFECT;VF_ROOT_VERB_PERFECT;VF_ALL_VERB_PERFECT;VF_PRESENT_IND_IMPERFECT;VF_PAST_IND_PERFECT;VF_PAST_IND_IMPERFECT;VF_FUT_IND_PERFECT;VF_FUT_IND_IMPERFECT_SIMPLE;VF_FUT_IND_COMPLEX;VF_FIRST_CONJ;VF_SECOND_CONJ;VF_THIRD_CONJ;VF_FOURTH_CONJ;VF_INFINITIVE;VF_PASSIVE;VF_TRANSITIVE;VF_INTRANSITIVE;VF_IMPERSONAL_VERBS;VF_PARTICIPLE_PASSIVE;VF_PARTICIPLE_ACTIVE;VF_ADV_PRF_PART;VF_ADV_IMPRF_PART;SY_DIRECT_SPEECH;SY_NEGATIVE;SY_PARATAXIS;SY_NON_FINITE;SY_QUOTATIONS;SY_EXCLAMATION;SY_QUESTION;SY_ELLIPSES;SY_POSITIONING;SY_CONDITIONAL;SY_IMPERATIVE;SY_AMPLIFIED_SENT
DESCRIPTION;Type-token ratio for words lemmas;Incidence of proper names;Incidence of personal names;Incidence of punctuation;Incidence of comma;Incidence of semicolon;Incidence of colon;Incidence of dashes;Incidence of Content words;Incidence of Function words;Incidence of Content words types;Incidence of Function words types;Incidence of nouns in plural;Incidence of nouns in singular;Incidence of nouns in Nominative case;Incidence of nouns in Genitive case;Incidence of nouns in Dative case;Incidence of nouns in Accusative case;Incidence of nouns in Instrumental case;Incidence of nouns in Locative case;Incidence of nouns in Vocative case;Incidence of qualitative adj positive;Incidence of relative adj;Incidence of relative adj;Incidence of qualitative superlative adj;Incidence of direct adjective;Incidence of indirect adjective;Incidence of animate nouns;Incidence of inanimate nouns;Incidence of neutral nouns;Incidence of feminine nouns;Incidence of masculine nouns;Incidence of feminine proper nouns;Incidence of masculine proper nouns;Incidence of given names;Incidence of surnames;Incidence of flat multiwords expressions;Incidence of diminutives;Incidence of direct objects;Incidence of indirect objects;Incidence of numerals cardinals;Incidence of numerals ordinals;Incidence of demonstrative pronouns;Incidence of personal pronouns;Incidence of total pronouns;Incidence of relative pronouns;Incidence of indexical pronouns;Incidence of relative pronoun 'що';Incidence of reflexive pronoun;Incidence of posessive pronoun;Incidence of negative pronoun;Incidence of positive adverbs;Incidence of comparative adverbs;Incidence of superlative adverbs;Incidence of Verbs;Incidence of Nouns;Incidence of Adjectives;Incidence of Adverbs;Incidence of Determiners;Incidence of Interjections;Incidence of Conjunctions;Incidence of Particles;Incidence of Numerals;Incidence of Prepositions;Incidence of Pronouns;Incidence of Code-Switching;Incidence of root verbs in imperfect aspect;Incidence of all verbs in imperfect aspect;Incidence of root verbs in perfect form;Incidence of all verbs in perfect form;Incidence of verbs in the present tense, indicative mood, imperfect aspect;Incidence of verbs in the past tense, indicative mood, perfect aspect;Incidence of verbs in the past tense, indicative mood, imperfect aspect;Incidence of verbs in the future tense, indicative mood, perfect aspect;Incidence of verbs in the future tense, indicative mood, imperfect aspect, simple verb forms;Incidence of verbs in the future tense, indicative mood, complex verb forms;Incidence of verbs in the first conjugation;Incidence of verbs in the second conjugation;Incidence of verbs in the third conjugation;Incidence of verbs in the fourth conjugation;Incidence of verbs in infinitive;Incidence of verbs in the passive form;Incidence of transitive verbs;Incidence of intransitive verbs;Incidence of impersonal verbs;Incidence of passive participles;Incidence of active participles;Incidence of adverbial perfect participles;Incidence of adverbial imperfect participles;Number of words in direct speech;Number of words in negative sentences;Number of words in parataxis sentences;Number of words in sentences without any verbs;Number of words in sentences with quotation marks;Number of words in exclamatory sentences;Number of words in interrogative sentences;Number of words in elliptic sentences;Number of positionings (прикладка);Number of words in conditional sentences;Number of words in imperative sentences;Number of words in amplified sentences
MEDIAN;0,4120975609756098;0,024041811846689895;0,011317073170731707;0,14413937282229966;0,06412543554006969;0,0;0,001142857142857143;0,0;0,5538118466898955;0,20243902439024392;0,3755121951219512;0,0859651567944251;0,134006968641115;0,1236794425087108;0,05795121951219512;0,09574912891986062;0,0035818815331010454;0,0634425087108014;0,0;0,0249198606271777;0,0;0,0280418118466899;0,0666759581881533;0,0017142857142857142;0,001142857142857143;0,09643205574912891;0,0005714285714285715;0,028501742160278745;0,2350522648083624;0,0304808362369338;0,07289198606271777;0,1543135888501742;0,0;0,009449477351916376;0,004724738675958188;0,004724738675958188;0,10037630662020905;0,0;0,02907317073170732;0,06526829268292683;0,04568641114982579;0,006857142857142857;0,016613240418118465;0,011581881533101046;0,002285714285714286;0,0017142857142857142;0,0;0,020041811846689895;0,005867595818815331;0,006439024390243903;0,001142857142857143;0,004;0,0035818815331010454;0,0030104529616724737;0,08214634146341464;0,28759581881533103;0,09757491289198607;0,03665505226480836;0,022898954703832755;0,0;0,043358885017421606;0,010174216027874565;0,03924738675958188;0,126006968641115;0,01059233449477352;0,0;0,016766550522648083;0,036501742160278745;0,01402090592334495;0,04263414634146342;0,0289198606271777;0,037909407665505226;0,002857142857142857;0,0005714285714285715;0,0;0,001142857142857143;0,05814634146341464;0,1605993031358885;0,01588850174216028;0,0;0,007163763066202091;0,0;0,06839024390243903;0,0035818815331010454;0,01916376306620209;0,01245993031358885;0,010439024390243903;0,0030104529616724737;0,001142857142857143;0,4108710801393728;0,39686411149825784;0,7267177700348433;0,004724738675958188;0,02202090592334495;0,0;0,0;0,0;0,0;0,0;0,0;0,0
MEAN;0,4120975609756098;0,024041811846689895;0,011317073170731707;0,14413937282229966;0,06412543554006969;0,0;0,001142857142857143;0,0;0,5538118466898955;0,20243902439024392;0,3755121951219512;0,0859651567944251;0,134006968641115;0,1236794425087108;0,05795121951219512;0,09574912891986062;0,0035818815331010454;0,0634425087108014;0,0;0,0249198606271777;0,0;0,0280418118466899;0,0666759581881533;0,0017142857142857142;0,001142857142857143;0,09643205574912891;0,0005714285714285715;0,028501742160278745;0,2350522648083624;0,0304808362369338;0,07289198606271777;0,1543135888501742;0,0;0,009449477351916376;0,004724738675958188;0,004724738675958188;0,10037630662020905;0,0;0,02907317073170732;0,06526829268292683;0,04568641114982579;0,006857142857142857;0,016613240418118465;0,011581881533101046;0,002285714285714286;0,0017142857142857142;0,0;0,020041811846689895;0,005867595818815331;0,006439024390243903;0,001142857142857143;0,004;0,0035818815331010454;0,0030104529616724737;0,08214634146341464;0,28759581881533103;0,09757491289198607;0,03665505226480836;0,022898954703832755;0,0;0,043358885017421606;0,010174216027874565;0,03924738675958188;0,126006968641115;0,01059233449477352;0,0;0,016766550522648083;0,036501742160278745;0,01402090592334495;0,04263414634146342;0,0289198606271777;0,037909407665505226;0,002857142857142857;0,0005714285714285715;0,0;0,001142857142857143;0,05814634146341464;0,1605993031358885;0,01588850174216028;0,0;0,007163763066202091;0,0;0,06839024390243903;0,0035818815331010454;0,01916376306620209;0,01245993031358885;0,010439024390243903;0,0030104529616724737;0,001142857142857143;0,4108710801393728;0,39686411149825784;0,7267177700348433;0,004724738675958188;0,02202090592334495;0,0;0,0;0,0;0,0;0,0;0,0;0,0
SD;0,14155932829217518;0,006405845404477434;0,004691049865432706;0,017581581848596532;0,00790382771444754;0,0;0,0016162440712835374;0,0;0,05885493654698343;0,0034493013716416785;0,08981980771754974;0,0439933752085958;0,0036464043071640895;0,009342679143760926;0,019867975900656164;0,018133470068059192;0,001833057300358158;0,013757784899462302;0,0;0,006149611588298338;0,0;0,012062699653969815;0,025308016921073925;0,0024243661069253057;0,0016162440712835374;0,03979508268196904;0,0008081220356417687;0,007982668888656496;0,015078374567462267;0,00861339828232812;0,014191411357611546;0,011274287911880287;0,0;0,0004336264581492412;0,0002168132290746206;0,0002168132290746206;0,1063961645949821;0,0;0,007174546853014728;0,009520071785731072;0,011274287911880282;0,009697464427701223;0,004099741058865558;0,009480651198626603;0,003232488142567075;0,0024243661069253057;0,0;0,0007489911549850531;0,001399430842208916;0,002207552877850685;0,0016162440712835374;0,00565685424949238;0,001833057300358158;0,0026411793359999267;0,01959203179092483;0,013501551083283197;0,041411326753252584;0,0033507499038805027;0,004789601333193898;0,0;0,013028504038029489;0,006307293936716243;0,01348184078973097;0,01496011280614885;0,0011826176131342955;0,0;0,010781530573074329;0,0033310396103282615;0,006031349826984908;0,01890217151659649;0,0004927573388059584;0,01911898474567111;0,004040610178208843;0,0008081220356417687;0,0;0,0016162440712835374;0,014349093706029456;0,02016363030393974;0,0017739264197014432;0,0;0,003666114600716316;0,0;0,027732383027999224;0,001833057300358158;0,013304448147760823;0,003074805794149169;0,007864407127343065;0,0026411793359999267;0,0016162440712835374;0,477580412770733;0,08524701961343044;0,08262555057098275;0,0002168132290746206;0,017345058325969668;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1;0,5121951219512195;0,01951219512195122;0,014634146341463415;0,13170731707317074;0,05853658536585366;0,0;0,0;0,0;0,5121951219512195;0,2048780487804878;0,43902439024390244;0,11707317073170732;0,13658536585365855;0,11707317073170732;0,04390243902439024;0,08292682926829269;0,004878048780487805;0,07317073170731707;0,0;0,02926829268292683;0,0;0,01951219512195122;0,04878048780487805;0,0;0,0;0,06829268292682927;0,0;0,03414634146341464;0,22439024390243903;0,024390243902439025;0,08292682926829269;0,14634146341463414;0,0;0,00975609756097561;0,004878048780487805;0,004878048780487805;0,17560975609756097;0,0;0,03414634146341464;0,05853658536585366;0,05365853658536585;0,0;0,01951219512195122;0,004878048780487805;0,0;0,0;0,0;0,01951219512195122;0,004878048780487805;0,004878048780487805;0,0;0,0;0,004878048780487805;0,004878048780487805;0,06829268292682927;0,2780487804878049;0,06829268292682927;0,03902439024390244;0,01951219512195122;0,0;0,03414634146341464;0,014634146341463415;0,04878048780487805;0,13658536585365855;0,00975609756097561;0,0;0,024390243902439025;0,03414634146341464;0,00975609756097561;0,02926829268292683;0,02926829268292683;0,024390243902439025;0,0;0,0;0,0;0,0;0,06829268292682927;0,14634146341463414;0,014634146341463415;0,0;0,00975609756097561;0,0;0,04878048780487805;0,004878048780487805;0,00975609756097561;0,014634146341463415;0,004878048780487805;0,004878048780487805;0,0;0,07317073170731707;0,33658536585365856;0,6682926829268293;0,004878048780487805;0,00975609756097561;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2;0,312;0,02857142857142857;0,008;0,15657142857142858;0,06971428571428571;0,0;0,002285714285714286;0,0;0,5954285714285714;0,2;0,312;0,054857142857142854;0,13142857142857142;0,13028571428571428;0,072;0,10857142857142857;0,002285714285714286;0,053714285714285714;0,0;0,02057142857142857;0,0;0,036571428571428574;0,08457142857142858;0,0034285714285714284;0,002285714285714286;0,12457142857142857;0,001142857142857143;0,022857142857142857;0,24571428571428572;0,036571428571428574;0,06285714285714286;0,16228571428571428;0,0;0,009142857142857144;0,004571428571428572;0,004571428571428572;0,025142857142857144;0,0;0,024;0,072;0,037714285714285714;0,013714285714285714;0,013714285714285714;0,018285714285714287;0,004571428571428572;0,0034285714285714284;0,0;0,02057142857142857;0,006857142857142857;0,008;0,002285714285714286;0,008;0,002285714285714286;0,001142857142857143;0,096;0,29714285714285715;0,12685714285714286;0,03428571428571429;0,026285714285714287;0,0;0,052571428571428575;0,005714285714285714;0,029714285714285714;0,11542857142857142;0,011428571428571429;0,0;0,009142857142857144;0,038857142857142854;0,018285714285714287;0,056;0,02857142857142857;0,05142857142857143;0,005714285714285714;0,001142857142857143;0,0;0,002285714285714286;0,048;0,17485714285714285;0,017142857142857144;0,0;0,004571428571428572;0,0;0,088;0,002285714285714286;0,02857142857142857;0,010285714285714285;0,016;0,001142857142857143;0,002285714285714286;0,7485714285714286;0,45714285714285713;0,7851428571428571;0,004571428571428572;0,03428571428571429;0,0;0,0;0,0;0,0;0,0;0,0;0,0
