CODE;L_TYPE_TOKEN_RATIO_LEMMAS;L_PROPER_NAME;L_PERSONAL_NAME;L_PUNCT;L_PUNCT_COM;L_PUNCT_SEMC;L_PUNCT_COL;L_PUNCT_DASH;L_CONT_A;L_FUNC_A;L_CONT_T;L_FUNC_T;L_PLURAL_NOUNS;L_SINGULAR_NOUNS;L_NOM_CASE;L_GEN_CASE;L_DAT_CASE;L_ACC_CASE;L_INS_CASE;L_LOC_CASE;L_VOC_CASE;L_QULITATIVE_ADJ_P;L_RELATIVE_ADJ;L_QUALITATIVE_ADJ_CMP;L_QUALITATIVE_ADJ_SUP;L_DIRECT_ADJ;L_INDIRECT_ADJ;L_ANIM_NOUN;L_INANIM_NOUN;L_NOUN_NEUTRAL;L_NOUN_FAMININE;L_NOUN_MASCULINE;L_FEMININE_NAMES;L_MASCULINE_NAMES;L_GIVEN_NAMES;L_SURNAMES;L_FLAT_MULTIWORD;L_DIMINUTIVES;L_DIRECT_OBJ;L_INDIRECT_OBJ;L_NUM_CARD;L_NUM_ORD;L_PRON_DEM;L_PRON_PRS;L_PRON_TOT;L_PRON_REL;L_PRON_INT;L_PRON_RELATIVE;L_PRON_RFL;L_PRON_POS;L_PRON_NEG;L_ADV_POS;L_ADV_CMP;L_ADV_SUP;POS_VERB;POS_NOUN;POS_ADJ;POS_ADV;POS_DET;POS_INTJ;POS_CONJ;POS_PART;POS_NUM;POS_PREP;POS_PRO;POS_OTHER;VF_ROOT_VERB_IMPERFECT;VF_ALL_VERB_IMPERFECT;VF_ROOT_VERB_PERFECT;VF_ALL_VERB_PERFECT;VF_PRESENT_IND_IMPERFECT;VF_PAST_IND_PERFECT;VF_PAST_IND_IMPERFECT;VF_FUT_IND_PERFECT;VF_FUT_IND_IMPERFECT_SIMPLE;VF_FUT_IND_COMPLEX;VF_FIRST_CONJ;VF_SECOND_CONJ;VF_THIRD_CONJ;VF_FOURTH_CONJ;VF_INFINITIVE;VF_PASSIVE;VF_TRANSITIVE;VF_INTRANSITIVE;VF_IMPERSONAL_VERBS;VF_PARTICIPLE_PASSIVE;VF_PARTICIPLE_ACTIVE;VF_ADV_PRF_PART;VF_ADV_IMPRF_PART;SY_DIRECT_SPEECH;SY_NEGATIVE;SY_PARATAXIS;SY_NON_FINITE;SY_QUOTATIONS;SY_EXCLAMATION;SY_QUESTION;SY_ELLIPSES;SY_POSITIONING;SY_CONDITIONAL;SY_IMPERATIVE;SY_AMPLIFIED_SENT
DESCRIPTION;Type-token ratio for words lemmas;Incidence of proper names;Incidence of personal names;Incidence of punctuation;Incidence of comma;Incidence of semicolon;Incidence of colon;Incidence of dashes;Incidence of Content words;Incidence of Function words;Incidence of Content words types;Incidence of Function words types;Incidence of nouns in plural;Incidence of nouns in singular;Incidence of nouns in Nominative case;Incidence of nouns in Genitive case;Incidence of nouns in Dative case;Incidence of nouns in Accusative case;Incidence of nouns in Instrumental case;Incidence of nouns in Locative case;Incidence of nouns in Vocative case;Incidence of qualitative adj positive;Incidence of relative adj;Incidence of relative adj;Incidence of qualitative superlative adj;Incidence of direct adjective;Incidence of indirect adjective;Incidence of animate nouns;Incidence of inanimate nouns;Incidence of neutral nouns;Incidence of feminine nouns;Incidence of masculine nouns;Incidence of feminine proper nouns;Incidence of masculine proper nouns;Incidence of given names;Incidence of surnames;Incidence of flat multiwords expressions;Incidence of diminutives;Incidence of direct objects;Incidence of indirect objects;Incidence of numerals cardinals;Incidence of numerals ordinals;Incidence of demonstrative pronouns;Incidence of personal pronouns;Incidence of total pronouns;Incidence of relative pronouns;Incidence of indexical pronouns;Incidence of relative pronoun 'що';Incidence of reflexive pronoun;Incidence of posessive pronoun;Incidence of negative pronoun;Incidence of positive adverbs;Incidence of comparative adverbs;Incidence of superlative adverbs;Incidence of Verbs;Incidence of Nouns;Incidence of Adjectives;Incidence of Adverbs;Incidence of Determiners;Incidence of Interjections;Incidence of Conjunctions;Incidence of Particles;Incidence of Numerals;Incidence of Prepositions;Incidence of Pronouns;Incidence of Code-Switching;Incidence of root verbs in imperfect aspect;Incidence of all verbs in imperfect aspect;Incidence of root verbs in perfect form;Incidence of all verbs in perfect form;Incidence of verbs in the present tense, indicative mood, imperfect aspect;Incidence of verbs in the past tense, indicative mood, perfect aspect;Incidence of verbs in the past tense, indicative mood, imperfect aspect;Incidence of verbs in the future tense, indicative mood, perfect aspect;Incidence of verbs in the future tense, indicative mood, imperfect aspect, simple verb forms;Incidence of verbs in the future tense, indicative mood, complex verb forms;Incidence of verbs in the first conjugation;Incidence of verbs in the second conjugation;Incidence of verbs in the third conjugation;Incidence of verbs in the fourth conjugation;Incidence of verbs in infinitive;Incidence of verbs in the passive form;Incidence of transitive verbs;Incidence of intransitive verbs;Incidence of impersonal verbs;Incidence of passive participles;Incidence of active participles;Incidence of adverbial perfect participles;Incidence of adverbial imperfect participles;Number of words in direct speech;Number of words in negative sentences;Number of words in parataxis sentences;Number of words in sentences without any verbs;Number of words in sentences with quotation marks;Number of words in exclamatory sentences;Number of words in interrogative sentences;Number of words in elliptic sentences;Number of positionings (прикладка);Number of words in conditional sentences;Number of words in imperative sentences;Number of words in amplified sentences
MEDIAN;0,5004734848484849;0,08551662457912458;0,04321864478114478;0,180055765993266;0,08393834175084175;0,0;0,0032880892255892254;0,0;0,5869370791245792;0,203309132996633;0,4900568181818182;0,09043560606060606;0,05242529461279462;0,16074810606060605;0,043823653198653195;0,0758364898989899;0,002577861952861953;0,045244107744107746;0,0;0,022753577441077442;0,0;0,02462121212121212;0,0647885101010101;0,0;0,0014204545454545455;0,08656881313131314;0,004971590909090909;0,03361742424242424;0,1807133838383838;0,025068392255892254;0,07289036195286194;0,11521464646464646;0,0023148148148148147;0,04090382996632996;0,01654566498316498;0,0266729797979798;0,06902356902356901;0,0;0,03680029461279461;0,061079545454545456;0,008180765993265993;0,007207491582491583;0,02925084175084175;0,028724747474747476;0,0014204545454545455;0,01396780303030303;0,0;0,022227483164983165;0,005155723905723906;0,011021675084175085;0,0023148148148148147;0,013441708754208753;0,0007102272727272727;0,0;0,109190867003367;0,29984743265993263;0,09083017676767677;0,04411300505050505;0,034406565656565656;0,0;0,05787037037037037;0,011652988215488215;0,00747053872053872;0,09937920875420875;0,035485058922558925;0,0;0,01707175925925926;0,05387205387205387;0,008627946127946127;0,04429713804713804;0,041692971380471386;0,02456860269360269;0,01120580808080808;0,002577861952861953;0,0007102272727272727;0,0;0,06765572390572391;0,1442813552188552;0,009154040404040404;0,0;0,024700126262626264;0,0014204545454545455;0,06492003367003367;0,015125210437710437;0,023200757575757576;0,003998316498316498;0,00186763468013468;0,0;0,002577861952861953;0,688052398989899;0,15727588383838384;0,6912352693602694;0,009785353535353536;0,028093434343434344;0,0011574074074074073;0,0;0,0;0,0014204545454545455;0,0023148148148148147;0,0;0,0
MEAN;0,5004734848484849;0,08551662457912458;0,04321864478114478;0,180055765993266;0,08393834175084175;0,0;0,0032880892255892254;0,0;0,5869370791245792;0,203309132996633;0,4900568181818182;0,09043560606060606;0,05242529461279462;0,16074810606060605;0,043823653198653195;0,0758364898989899;0,002577861952861953;0,045244107744107746;0,0;0,022753577441077442;0,0;0,02462121212121212;0,0647885101010101;0,0;0,0014204545454545455;0,08656881313131314;0,004971590909090909;0,03361742424242424;0,1807133838383838;0,025068392255892254;0,07289036195286194;0,11521464646464646;0,0023148148148148147;0,04090382996632996;0,01654566498316498;0,0266729797979798;0,06902356902356901;0,0;0,03680029461279461;0,061079545454545456;0,008180765993265993;0,007207491582491583;0,02925084175084175;0,028724747474747476;0,0014204545454545455;0,01396780303030303;0,0;0,022227483164983165;0,005155723905723906;0,011021675084175085;0,0023148148148148147;0,013441708754208753;0,0007102272727272727;0,0;0,109190867003367;0,29984743265993263;0,09083017676767677;0,04411300505050505;0,034406565656565656;0,0;0,05787037037037037;0,011652988215488215;0,00747053872053872;0,09937920875420875;0,035485058922558925;0,0;0,01707175925925926;0,05387205387205387;0,008627946127946127;0,04429713804713804;0,041692971380471386;0,02456860269360269;0,01120580808080808;0,002577861952861953;0,0007102272727272727;0,0;0,06765572390572391;0,1442813552188552;0,009154040404040404;0,0;0,024700126262626264;0,0014204545454545455;0,06492003367003367;0,015125210437710437;0,023200757575757576;0,003998316498316498;0,00186763468013468;0,0;0,002577861952861953;0,688052398989899;0,15727588383838384;0,6912352693602694;0,009785353535353536;0,028093434343434344;0,0011574074074074073;0,0;0,0;0,0014204545454545455;0,0023148148148148147;0,0;0,0
SD;0,02879317385513407;0,00963492510139498;0,010899741523971924;0,023622306715775344;0,012238958912582809;0,0;0,0013764178716278543;0,0;0,011643751184311327;0,015810205282211838;0,014061782580414305;0,01941865213485784;0,028309567575913443;0,008370108678818036;0,006324082112884735;0,0007812101433563525;0,00037200483016969053;0,008332908195801066;0,0;0,005989277765732016;0,0;0,0053568695544435425;0,022878297055435957;0,0;0,0020088260829163283;0,024217514444046847;0,007030891290207148;0,011383347803192523;0,029685985447541294;0,0027156352602387412;0,011420548286209496;0,005803275350647178;0,0032736425054932755;0,007626099018478649;0,009337321237259229;0,0015624202867126975;0,03333163278320425;0,0;0,00621248066383383;0,002008826082916326;0,0015252198036957304;0,006175280180816861;0,001190415456543009;0,008481710127868943;0,0020088260829163283;0,009709326067428919;0,0;0,0013020169055939165;0,0007440096603393811;0,0024924323621369265;0,0032736425054932755;0,01700062073875485;0,0010044130414581642;0,0;0,015810205282211838;0,02793756274574372;0,03024399269279583;0,016182210112381534;0,0004464057962036314;0,0;0,006547285010986551;0,006435683561935643;0,0025296328451538943;0,01614500962936456;0,012015756014481;0,0;0,0020460265659332966;0,004166454097900533;0,004166454097900531;0,0224690917422493;0,0033108429885102455;0,030727598972016424;0,003794449267730842;0,00037200483016969053;0,0010044130414581642;0,0;0,0007440096603393725;0,010899741523971924;0,0031248405734254;0,0;0,015289398519974278;0,0020088260829163283;0,019493053100891777;0,011346147320175555;0,0033480434715272155;0,0023808309130860187;0,0006324082112884736;0,0;0,00037200483016969053;0,06952770275871514;0,09184799256889656;0,0012648164225769834;0,005803275350647169;0,0004464057962036289;0,0016368212527466377;0,0;0,0;0,0020088260829163283;0,0032736425054932755;0,0;0,0
1;0,48011363636363635;0,09232954545454546;0,03551136363636364;0,16335227272727273;0,07528409090909091;0,0;0,004261363636363636;0,0;0,5951704545454546;0,21448863636363635;0,48011363636363635;0,07670454545454546;0,07244318181818182;0,15482954545454544;0,048295454545454544;0,07528409090909091;0,002840909090909091;0,05113636363636364;0,0;0,026988636363636364;0,0;0,028409090909090908;0,08096590909090909;0,0;0,002840909090909091;0,10369318181818182;0,009943181818181818;0,02556818181818182;0,20170454545454544;0,026988636363636364;0,08096590909090909;0,11931818181818182;0,0;0,03551136363636364;0,009943181818181818;0,02556818181818182;0,045454545454545456;0,0;0,041193181818181816;0,05965909090909091;0,007102272727272727;0,002840909090909091;0,028409090909090908;0,022727272727272728;0,002840909090909091;0,007102272727272727;0,0;0,02130681818181818;0,005681818181818182;0,01278409090909091;0,0;0,0014204545454545455;0,0014204545454545455;0,0;0,09801136363636363;0,3196022727272727;0,11221590909090909;0,032670454545454544;0,03409090909090909;0,0;0,0625;0,007102272727272727;0,005681818181818182;0,11079545454545454;0,026988636363636364;0,0;0,015625;0,056818181818181816;0,005681818181818182;0,028409090909090908;0,04403409090909091;0,002840909090909091;0,008522727272727272;0,002840909090909091;0,0014204545454545455;0,0;0,06818181818181818;0,15198863636363635;0,011363636363636364;0,0;0,03551136363636364;0,002840909090909091;0,05113636363636364;0,007102272727272727;0,02556818181818182;0,005681818181818182;0,0014204545454545455;0,0;0,002840909090909091;0,7372159090909091;0,09232954545454546;0,6903409090909091;0,005681818181818182;0,028409090909090908;0,0;0,0;0,0;0,002840909090909091;0,0;0,0;0,0
2;0,5208333333333334;0,0787037037037037;0,05092592592592592;0,19675925925925927;0,09259259259259259;0,0;0,0023148148148148147;0,0;0,5787037037037037;0,19212962962962962;0,5;0,10416666666666667;0,032407407407407406;0,16666666666666666;0,03935185185185185;0,0763888888888889;0,0023148148148148147;0,03935185185185185;0,0;0,018518518518518517;0,0;0,020833333333333332;0,04861111111111111;0,0;0,0;0,06944444444444445;0,0;0,041666666666666664;0,1597222222222222;0,023148148148148147;0,06481481481481481;0,1111111111111111;0,004629629629629629;0,046296296296296294;0,023148148148148147;0,027777777777777776;0,09259259259259259;0,0;0,032407407407407406;0,0625;0,009259259259259259;0,011574074074074073;0,03009259259259259;0,034722222222222224;0,0;0,020833333333333332;0,0;0,023148148148148147;0,004629629629629629;0,009259259259259259;0,004629629629629629;0,02546296296296296;0,0;0,0;0,12037037037037036;0,2800925925925926;0,06944444444444445;0,05555555555555555;0,034722222222222224;0,0;0,05324074074074074;0,016203703703703703;0,009259259259259259;0,08796296296296297;0,04398148148148148;0,0;0,018518518518518517;0,05092592592592592;0,011574074074074073;0,06018518518518518;0,03935185185185185;0,046296296296296294;0,013888888888888888;0,0023148148148148147;0,0;0,0;0,06712962962962964;0,13657407407407407;0,006944444444444444;0,0;0,013888888888888888;0,0;0,0787037037037037;0,023148148148148147;0,020833333333333332;0,0023148148148148147;0,0023148148148148147;0,0;0,0023148148148148147;0,6388888888888888;0,2222222222222222;0,6921296296296297;0,013888888888888888;0,027777777777777776;0,0023148148148148147;0,0;0,0;0,0;0,004629629629629629;0,0;0,0
