CODE;L_TYPE_TOKEN_RATIO_LEMMAS;L_PROPER_NAME;L_PERSONAL_NAME;L_PUNCT;L_PUNCT_COM;L_PUNCT_SEMC;L_PUNCT_COL;L_PUNCT_DASH;L_CONT_A;L_FUNC_A;L_CONT_T;L_FUNC_T;L_PLURAL_NOUNS;L_SINGULAR_NOUNS;L_NOM_CASE;L_GEN_CASE;L_DAT_CASE;L_ACC_CASE;L_INS_CASE;L_LOC_CASE;L_VOC_CASE;L_QULITATIVE_ADJ_P;L_RELATIVE_ADJ;L_QUALITATIVE_ADJ_CMP;L_QUALITATIVE_ADJ_SUP;L_DIRECT_ADJ;L_INDIRECT_ADJ;L_ANIM_NOUN;L_INANIM_NOUN;L_NOUN_NEUTRAL;L_NOUN_FAMININE;L_NOUN_MASCULINE;L_FEMININE_NAMES;L_MASCULINE_NAMES;L_GIVEN_NAMES;L_SURNAMES;L_FLAT_MULTIWORD;L_DIMINUTIVES;L_DIRECT_OBJ;L_INDIRECT_OBJ;L_NUM_CARD;L_NUM_ORD;L_PRON_DEM;L_PRON_PRS;L_PRON_TOT;L_PRON_REL;L_PRON_INT;L_PRON_RELATIVE;L_PRON_RFL;L_PRON_POS;L_PRON_NEG;L_ADV_POS;L_ADV_CMP;L_ADV_SUP;POS_VERB;POS_NOUN;POS_ADJ;POS_ADV;POS_DET;POS_INTJ;POS_CONJ;POS_PART;POS_NUM;POS_PREP;POS_PRO;POS_OTHER;VF_ROOT_VERB_IMPERFECT;VF_ALL_VERB_IMPERFECT;VF_ROOT_VERB_PERFECT;VF_ALL_VERB_PERFECT;VF_PRESENT_IND_IMPERFECT;VF_PAST_IND_PERFECT;VF_PAST_IND_IMPERFECT;VF_FUT_IND_PERFECT;VF_FUT_IND_IMPERFECT_SIMPLE;VF_FUT_IND_COMPLEX;VF_FIRST_CONJ;VF_SECOND_CONJ;VF_THIRD_CONJ;VF_FOURTH_CONJ;VF_INFINITIVE;VF_PASSIVE;VF_TRANSITIVE;VF_INTRANSITIVE;VF_IMPERSONAL_VERBS;VF_PARTICIPLE_PASSIVE;VF_PARTICIPLE_ACTIVE;VF_ADV_PRF_PART;VF_ADV_IMPRF_PART;SY_DIRECT_SPEECH;SY_NEGATIVE;SY_PARATAXIS;SY_NON_FINITE;SY_QUOTATIONS;SY_EXCLAMATION;SY_QUESTION;SY_ELLIPSES;SY_POSITIONING;SY_CONDITIONAL;SY_IMPERATIVE;SY_AMPLIFIED_SENT
DESCRIPTION;Type-token ratio for words lemmas;Incidence of proper names;Incidence of personal names;Incidence of punctuation;Incidence of comma;Incidence of semicolon;Incidence of colon;Incidence of dashes;Incidence of Content words;Incidence of Function words;Incidence of Content words types;Incidence of Function words types;Incidence of nouns in plural;Incidence of nouns in singular;Incidence of nouns in Nominative case;Incidence of nouns in Genitive case;Incidence of nouns in Dative case;Incidence of nouns in Accusative case;Incidence of nouns in Instrumental case;Incidence of nouns in Locative case;Incidence of nouns in Vocative case;Incidence of qualitative adj positive;Incidence of relative adj;Incidence of relative adj;Incidence of qualitative superlative adj;Incidence of direct adjective;Incidence of indirect adjective;Incidence of animate nouns;Incidence of inanimate nouns;Incidence of neutral nouns;Incidence of feminine nouns;Incidence of masculine nouns;Incidence of feminine proper nouns;Incidence of masculine proper nouns;Incidence of given names;Incidence of surnames;Incidence of flat multiwords expressions;Incidence of diminutives;Incidence of direct objects;Incidence of indirect objects;Incidence of numerals cardinals;Incidence of numerals ordinals;Incidence of demonstrative pronouns;Incidence of personal pronouns;Incidence of total pronouns;Incidence of relative pronouns;Incidence of indexical pronouns;Incidence of relative pronoun 'що';Incidence of reflexive pronoun;Incidence of posessive pronoun;Incidence of negative pronoun;Incidence of positive adverbs;Incidence of comparative adverbs;Incidence of superlative adverbs;Incidence of Verbs;Incidence of Nouns;Incidence of Adjectives;Incidence of Adverbs;Incidence of Determiners;Incidence of Interjections;Incidence of Conjunctions;Incidence of Particles;Incidence of Numerals;Incidence of Prepositions;Incidence of Pronouns;Incidence of Code-Switching;Incidence of root verbs in imperfect aspect;Incidence of all verbs in imperfect aspect;Incidence of root verbs in perfect form;Incidence of all verbs in perfect form;Incidence of verbs in the present tense, indicative mood, imperfect aspect;Incidence of verbs in the past tense, indicative mood, perfect aspect;Incidence of verbs in the past tense, indicative mood, imperfect aspect;Incidence of verbs in the future tense, indicative mood, perfect aspect;Incidence of verbs in the future tense, indicative mood, imperfect aspect, simple verb forms;Incidence of verbs in the future tense, indicative mood, complex verb forms;Incidence of verbs in the first conjugation;Incidence of verbs in the second conjugation;Incidence of verbs in the third conjugation;Incidence of verbs in the fourth conjugation;Incidence of verbs in infinitive;Incidence of verbs in the passive form;Incidence of transitive verbs;Incidence of intransitive verbs;Incidence of impersonal verbs;Incidence of passive participles;Incidence of active participles;Incidence of adverbial perfect participles;Incidence of adverbial imperfect participles;Number of words in direct speech;Number of words in negative sentences;Number of words in parataxis sentences;Number of words in sentences without any verbs;Number of words in sentences with quotation marks;Number of words in exclamatory sentences;Number of words in interrogative sentences;Number of words in elliptic sentences;Number of positionings (прикладка);Number of words in conditional sentences;Number of words in imperative sentences;Number of words in amplified sentences
MEDIAN;0,5450693374422189;0,029661016949152543;0,00423728813559322;0,17321520287621983;0,08055127546652971;0,0;0,0014124293785310734;0,0025252525252525255;0,5974148262283856;0,19423043999315187;0,5077041602465331;0,11569080636877246;0,08038007190549563;0,1537407978085944;0,04845060777264167;0,07986646122239342;0,0039376819037835985;0,06360212292415682;0,0;0,02251326827598014;0,0;0,025338127033042286;0,04673857216230098;0,0025252525252525255;0,0025252525252525255;0,0588512241054614;0,01827598014038692;0,027264167094675572;0,2110939907550077;0,04442732408834104;0,09206471494607088;0,09762883067967815;0,0;0,007062146892655367;0,0014124293785310734;0,005649717514124294;0,01634994007875364;0,0;0,0667265879130286;0,06865262797466187;0,017676767676767676;0,00898818695428865;0,037450778976202706;0,05187467899332306;0,002824858757062147;0,00847457627118644;0,0;0,029275808936825888;0,005350111282314673;0,016050333846944015;0,0;0,005350111282314673;0,0025252525252525255;0,0;0,1359784283513097;0,26801917479883586;0,07712720424584832;0,03886320835473378;0,030688238315356962;0,0;0,054913542201677795;0,01634994007875364;0,010101010101010102;0,09227871939736346;0,06732580037664784;0,0;0,01746276322547509;0,06471494607087827;0,022812874507789765;0,05915083033727102;0,03603834959767163;0,033812703304228725;0,010999828796438967;0,006462934429036124;0,002824858757062147;0,012925868858072249;0,05996404725218285;0,1370056497175141;0,029275808936825888;0,0;0,028976202705016264;0,0025252525252525255;0,08983906865262797;0,00898818695428865;0,034026707755521315;0,009587399417907892;0,0;0,0014124293785310734;0,006462934429036124;0,5031244649888718;0,08333333333333333;0,45557267591165895;0,0014124293785310734;0,00423728813559322;0,0;0,00423728813559322;0,0;0,0;0,0;0,0;0,0
MEAN;0,5450693374422189;0,029661016949152543;0,00423728813559322;0,17321520287621983;0,08055127546652971;0,0;0,0014124293785310734;0,0025252525252525255;0,5974148262283856;0,19423043999315187;0,5077041602465331;0,11569080636877246;0,08038007190549563;0,1537407978085944;0,04845060777264167;0,07986646122239342;0,0039376819037835985;0,06360212292415682;0,0;0,02251326827598014;0,0;0,025338127033042286;0,04673857216230098;0,0025252525252525255;0,0025252525252525255;0,0588512241054614;0,01827598014038692;0,027264167094675572;0,2110939907550077;0,04442732408834104;0,09206471494607088;0,09762883067967815;0,0;0,007062146892655367;0,0014124293785310734;0,005649717514124294;0,01634994007875364;0,0;0,0667265879130286;0,06865262797466187;0,017676767676767676;0,00898818695428865;0,037450778976202706;0,05187467899332306;0,002824858757062147;0,00847457627118644;0,0;0,029275808936825888;0,005350111282314673;0,016050333846944015;0,0;0,005350111282314673;0,0025252525252525255;0,0;0,1359784283513097;0,26801917479883586;0,07712720424584832;0,03886320835473378;0,030688238315356962;0,0;0,054913542201677795;0,01634994007875364;0,010101010101010102;0,09227871939736346;0,06732580037664784;0,0;0,01746276322547509;0,06471494607087827;0,022812874507789765;0,05915083033727102;0,03603834959767163;0,033812703304228725;0,010999828796438967;0,006462934429036124;0,002824858757062147;0,012925868858072249;0,05996404725218285;0,1370056497175141;0,029275808936825888;0,0;0,028976202705016264;0,0025252525252525255;0,08983906865262797;0,00898818695428865;0,034026707755521315;0,009587399417907892;0,0;0,0014124293785310734;0,006462934429036124;0,5031244649888718;0,08333333333333333;0,45557267591165895;0,0014124293785310734;0,00423728813559322;0,0;0,00423728813559322;0,0;0,0;0,0;0,0;0,0
SD;0,10768215748423797;0,04194701244326977;0,0059924303490385385;0,030688506939015547;0,013921807881604686;0,0;0,001997476783012846;0,003571246369629028;0,002058006382498141;0,011016387106313268;0,07481458496375386;0,007808318333595675;0,05774523790891682;0,010290031912490411;0,011379564703224695;0,037044114884965514;0,001573769586616182;0,010047913514549466;0,0;0,003873894367055215;0,0;0,00012105919897047701;0,001815887984557133;0,003571246369629028;0,003571246369629028;0,004660779160363312;0,009866324716093755;0,018582587041967996;0,022880188605419863;0,022880188605419873;0,0016342991861014189;0,026209316577107945;0,0;0,00998738391506423;0,001997476783012846;0,007989907132051385;0,008837321524844712;0,0;0,0015132399871309393;0,01719040625380753;0,024998724587403195;0,008716262325874238;0,0029659503747766535;0,030506918140559832;0,003994953566025692;0,011984860698077077;0,0;0,0014527103876457068;0,000423707196396664;0,0012711215891899926;0,0;0,000423707196396664;0,003571246369629028;0,0;0,000544766395367133;0,00048423679588191785;0,00520554555573045;0,004963427157789496;0,0005447663953671404;0,0;0,006234548746979491;0,008837321524844712;0,014284985478516112;0,02663302377350461;0,016645639858440392;0,0;0,00326859837220284;0,015616636667191345;0,0036923055685995033;0,012226979096018028;0,0009684735917638062;0,012105919897047552;0,008413614328448048;0,00514501595624521;0,003994953566025692;0,01029003191249042;0,0009079439922785665;0,04194701244326977;0,0014527103876457068;0,0;0,009018910323300426;0,003571246369629028;0,012771745491385166;0,008716262325874238;0,016161403062558484;0,006416137545435202;0,0;0,001997476783012846;0,00514501595624521;0,24726341389719622;0,11785113019775792;0,21282207179009596;0,001997476783012846;0,0059924303490385385;0,0;0,0059924303490385385;0,0;0,0;0,0;0,0;0,0
1;0,4689265536723164;0,059322033898305086;0,00847457627118644;0,19491525423728814;0,0903954802259887;0,0;0,002824858757062147;0,0;0,5988700564971752;0,1864406779661017;0,4548022598870056;0,11016949152542373;0,03954802259887006;0,16101694915254236;0,05649717514124294;0,05367231638418079;0,002824858757062147;0,05649717514124294;0,0;0,01977401129943503;0,0;0,025423728813559324;0,0480225988700565;0,0;0,0;0,062146892655367235;0,011299435028248588;0,014124293785310734;0,19491525423728814;0,02824858757062147;0,09322033898305085;0,07909604519774012;0,0;0,014124293785310734;0,002824858757062147;0,011299435028248588;0,022598870056497175;0,0;0,06779661016949153;0,05649717514124294;0,0;0,002824858757062147;0,03954802259887006;0,07344632768361582;0,005649717514124294;0,01694915254237288;0,0;0,02824858757062147;0,005649717514124294;0,01694915254237288;0,0;0,005649717514124294;0,0;0,0;0,13559322033898305;0,268361581920904;0,07344632768361582;0,0423728813559322;0,031073446327683617;0,0;0,059322033898305086;0,022598870056497175;0,0;0,07344632768361582;0,07909604519774012;0,0;0,01977401129943503;0,05367231638418079;0,025423728813559324;0,06779661016949153;0,03672316384180791;0,0423728813559322;0,01694915254237288;0,002824858757062147;0,005649717514124294;0,005649717514124294;0,059322033898305086;0,10734463276836158;0,02824858757062147;0,0;0,022598870056497175;0,0;0,09887005649717515;0,002824858757062147;0,022598870056497175;0,014124293785310734;0,0;0,002824858757062147;0,002824858757062147;0,6779661016949152;0,16666666666666666;0,3050847457627119;0,002824858757062147;0,00847457627118644;0,0;0,00847457627118644;0,0;0,0;0,0;0,0;0,0
2;0,6212121212121212;0,0;0,0;0,15151515151515152;0,0707070707070707;0,0;0,0;0,005050505050505051;0,5959595959595959;0,20202020202020202;0,5606060606060606;0,12121212121212122;0,12121212121212122;0,14646464646464646;0,04040404040404041;0,10606060606060606;0,005050505050505051;0,0707070707070707;0,0;0,025252525252525252;0,0;0,025252525252525252;0,045454545454545456;0,005050505050505051;0,005050505050505051;0,05555555555555555;0,025252525252525252;0,04040404040404041;0,22727272727272727;0,06060606060606061;0,09090909090909091;0,11616161616161616;0,0;0,0;0,0;0,0;0,010101010101010102;0,0;0,06565656565656566;0,08080808080808081;0,03535353535353535;0,015151515151515152;0,03535353535353535;0,030303030303030304;0,0;0,0;0,0;0,030303030303030304;0,005050505050505051;0,015151515151515152;0,0;0,005050505050505051;0,005050505050505051;0,0;0,13636363636363635;0,2676767676767677;0,08080808080808081;0,03535353535353535;0,030303030303030304;0,0;0,050505050505050504;0,010101010101010102;0,020202020202020204;0,1111111111111111;0,05555555555555555;0,0;0,015151515151515152;0,07575757575757576;0,020202020202020204;0,050505050505050504;0,03535353535353535;0,025252525252525252;0,005050505050505051;0,010101010101010102;0,0;0,020202020202020204;0,06060606060606061;0,16666666666666666;0,030303030303030304;0,0;0,03535353535353535;0,005050505050505051;0,08080808080808081;0,015151515151515152;0,045454545454545456;0,005050505050505051;0,0;0,0;0,010101010101010102;0,3282828282828283;0,0;0,6060606060606061;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
